"FIPS","County","State","Pop.in.Juvenile.Facilities..2010.","Pop.in.Mental..psych..hosp..2010.","ST.inpt.days.psych..2019.","ST.inpt.days.rehab..2019.","LT.inpt.days.gen.med..2019.","LT.inpt.days.in.psych..2019.","LT.inpt.days.rehab..2019.","Emergency.dept.visits..2019.","X3.yr.suicides..2017.2019.","Pop.est..2019.","Census.pop..2010.","Median.age..2010.","pct.white..2010.","pct.black..2010.","pct.am.ind..2010.","pct.asian..2010.","pct.PI..2010.","pct...2.race..2010.","pct.other..2010.","pct.urban.pop..2010.","med.HH.income..2019.est.","persons.in.poverty..2019.est.","no.HH..2010.","X..single.parent.HH..2010.","pct.25..hs.dip..15.19.","pct.25..hs.dip.or.mas..15.19.","pct.25..4yr.college..15.19.","no_obs","skateparks","Name","Deaths","Population","CrudeRate"
48289,"Leon","TX",0,0,0,0,0,0,0,0,NA,17404,16801,45.7,84.9,7.2,0.4,0.5,0,1.4,5.6,0,50522,2494,6896,569,18.2,81.8,14,NA,0,"Leon County, TX",4629,363604,"1273.1"
48291,"Liberty","TX",7,0,0,0,0,0,0,25368,17,88219,75643,36.4,77.2,10.8,0.6,0.5,0,2,9,36.8,53274,11967,25073,3002,22.7,77.3,9.7,NA,0,"Liberty County, TX",16161,1699385,"951.0"
48293,"Limestone","TX",0,0,0,0,0,0,0,15657,NA,23437,23384,39,69,17.5,0.5,0.4,0,2,10.5,46.4,43644,4190,8499,1038,18.9,81.1,14.8,NA,0,"Limestone County, TX",6237,507641,"1228.6"
48295,"Lipscomb","TX",0,0,0,0,0,0,0,0,NA,3233,3302,37,86.2,0.8,1.1,0.3,0,2.2,9.4,0,65388,395,1263,114,17.9,82.1,19.7,1,1,"Lipscomb County, TX",709,71399,"993.0"
48297,"Live Oak","TX",0,0,0,0,0,0,0,0,NA,12207,11531,43.8,87.7,4.4,0.8,0.5,0,1.5,5.1,0,54163,1825,4257,405,23.1,76.9,12.2,1,1,"Live Oak County, TX",2463,261346,"942.4"
48299,"Llano","TX",0,0,0,0,0,0,0,4642,NA,21795,19301,55,94.9,0.6,0.6,0.4,0,1.4,2.1,54.8,55617,2338,9008,557,14.2,85.8,25.3,1,1,"Llano County, TX",6462,422657,"1528.9"
48301,"Loving","TX",0,0,0,0,0,0,0,0,NA,169,82,52.7,79.3,0,4.9,0,0,7.3,8.5,0,88487,12,39,5,19.7,80.3,0,NA,0,"Loving County, TX",15,2063,"Unreliable"
48303,"Lubbock","TX",205,0,9085,30902,0,0,0,140098,51,310569,278831,30.4,77.3,7.5,0.7,2.1,0.1,2.5,9.9,88.7,54733,53478,105781,12983,13.8,86.2,30.1,3,3,"Lubbock County, TX",50111,6088055,"823.1"
48305,"Lynn","TX",0,0,0,0,0,0,0,2178,NA,5951,5915,39.4,80.3,2.1,1.2,0.1,0,2.3,13.9,43.3,45737,944,2246,243,24.6,75.4,17.3,1,1,"Lynn County, TX",1359,132889,"1022.7"
48307,"McCulloch","TX",0,0,0,0,0,0,0,4748,NA,7984,8283,43.5,83.9,1.9,0.7,0.4,0,1.8,11.4,64.7,43262,1379,3338,353,23.2,76.8,17.3,NA,0,"McCulloch County, TX",2507,179299,"1398.2"
48309,"McLennan","TX",730,45,0,0,0,0,0,165655,39,256623,234906,32.7,69.8,14.8,0.6,1.4,0,2.5,10.9,76.6,51078,44574,86892,11363,15.1,84.9,24.2,1,1,"McLennan County, TX",45755,5144458,"889.4"
48311,"McMullen","TX",0,0,0,0,0,0,0,0,NA,743,707,49.8,90.9,1.1,0,0.4,0,2.5,5,0,68349,77,310,16,7.3,92.7,28.8,NA,0,"McMullen County, TX",177,16902,"1047.2"
48313,"Madison","TX",0,0,0,0,0,0,0,8948,NA,14284,13664,34.5,67,19.9,0.5,0.6,0,1.7,10.3,32.6,46274,2090,4187,515,19.2,80.8,14.7,NA,0,"Madison County, TX",2991,299021,"1000.3"
48315,"Marion","TX",0,0,0,0,0,0,0,0,NA,9854,10546,48.4,73.5,22,0.8,0.5,0,2.1,1,0,37876,2070,4595,446,14.8,85.2,14.7,NA,0,"Marion County, TX",3464,232276,"1491.3"
48317,"Martin","TX",0,0,0,0,0,0,0,4656,NA,5771,4799,34.7,84.7,1.6,0.6,0.3,0.1,1.8,10.9,0,68745,695,1649,204,22.6,77.4,18.3,2,2,"Martin County, TX",1037,110371,"939.6"
48319,"Mason","TX",0,0,0,0,0,0,0,0,NA,4274,4012,49.3,93,0.4,0.4,0.2,0,1,5,0,54914,500,1754,151,12.3,87.7,27.6,NA,0,"Mason County, TX",1090,87380,"1247.4"
48321,"Matagorda","TX",0,0,0,0,0,0,0,21882,NA,36643,36702,38.4,71.2,11.4,0.7,2,0,2.3,12.3,63.6,49276,6335,13894,1747,19.4,80.6,17.4,2,2,"Matagorda County, TX",8193,813900,"1006.6"
48323,"Maverick","TX",0,0,0,0,0,0,0,27056,NA,58722,54258,30,91.4,0.2,1.2,0.3,0,1,5.8,90.7,40017,15491,15563,2430,40.5,59.5,12.7,1,1,"Maverick County, TX",7557,1174251,"643.6"
48325,"Medina","TX",0,0,0,0,0,0,0,11563,NA,51584,46006,38.6,85.6,2.2,0.7,0.6,0.1,2.2,8.6,38.4,60695,5997,15530,1841,16.8,83.2,19.8,2,2,"Medina County, TX",8341,1001959,"832.5"
48327,"Menard","TX",0,0,0,0,0,0,0,0,NA,2138,2242,50.4,82.4,0.6,0.8,0.1,0,1.7,14.5,0,38425,435,994,91,22.1,77.9,18,NA,0,"Menard County, TX",771,48829,"1579.0"
48329,"Midland","TX",0,23,16344,22225,0,0,0,69237,29,176832,136872,33.5,76.9,6.6,0.7,1.3,0,2.4,12,87.7,85811,17401,50845,6178,15.5,84.5,27.4,1,1,"Midland County, TX",22137,3100578,"714.0"
48331,"Milam","TX",94,0,0,0,0,0,0,2842,NA,24823,24757,40.5,78.1,10,0.7,0.4,0,1.8,9,43.8,48989,3965,9408,1108,18.6,81.4,14.1,NA,0,"Milam County, TX",6508,543951,"1196.4"
48333,"Mills","TX",54,0,0,0,0,0,0,0,NA,4873,4936,45.7,90,0.5,0.4,0.2,0,1.5,7.4,0,46876,623,1975,172,17,83,18.3,2,2,"Mills County, TX",1553,108175,"1435.6"
48335,"Mitchell","TX",0,0,0,0,0,0,0,4877,NA,8545,9403,35.4,68.4,11.3,0.7,0.3,0,1.6,17.7,63.3,44457,1303,2809,304,21.3,78.7,11.3,NA,0,"Mitchell County, TX",2245,201576,"1113.7"
48337,"Montague","TX",0,0,0,0,0,0,0,2692,NA,19818,19719,43.6,93.2,0.3,0.9,0.3,0,1.6,3.6,41.1,53649,2517,7989,704,14.3,85.7,16.9,4,4,"Montague County, TX",6276,429653,"1460.7"
48339,"Montgomery","TX",3,0,26424,25684,0,0,0,141064,95,607391,455746,36.1,83.5,4.3,0.7,2.1,0.1,2.3,7,77.3,88833,53807,162530,16513,12.3,87.7,34.5,11,11,"Montgomery County, TX",64954,9887130,"657.0"
48341,"Moore","TX",0,0,0,0,0,0,0,7291,NA,20940,21904,30.7,72.5,1.5,1.3,6.1,0.1,2.1,16.4,83.2,55099,2463,7197,951,32.7,67.3,14.3,2,2,"Moore County, TX",3171,465139,"681.7"
48343,"Morris","TX",0,0,0,0,0,0,0,0,NA,12388,12934,42.2,69.7,23,0.7,0.3,0.1,2,4.2,21.6,43304,2220,5226,654,11.4,88.6,14.3,NA,0,"Morris County, TX",3897,282858,"1377.7"
48345,"Motley","TX",0,0,0,0,0,0,0,0,NA,1200,1210,49,92.1,2,0.8,0,0,1.1,4,0,40217,210,542,41,12.5,87.5,16.8,NA,0,"Motley County, TX",416,27324,"1522.5"
48347,"Nacogdoches","TX",25,0,0,0,0,0,0,54337,12,65204,64524,29.8,68.6,18.2,0.6,1.2,0,2,9.4,53.5,46207,12571,23861,2805,17.1,82.9,24.5,NA,0,"Nacogdoches County, TX",12513,1388720,"901.0"
48349,"Navarro","TX",122,0,0,0,0,0,0,22730,11,50113,47735,37.1,69.4,13.8,0.6,0.5,0.8,2.2,12.5,47.3,48649,6586,17380,2222,21.6,78.4,15.9,1,1,"Navarro County, TX",11499,1046077,"1099.2"
48351,"Newton","TX",0,0,0,0,0,0,0,0,NA,13595,14445,40.7,76.9,20.1,0.6,0.4,0,1.5,0.6,0,45890,2933,5476,648,16.6,83.4,9.7,NA,0,"Newton County, TX",3568,315800,"1129.8"
48353,"Nolan","TX",0,0,0,0,0,0,0,11123,NA,14714,15216,39,83.6,4.7,0.6,0.4,0,2.3,8.3,67.3,46389,2496,5999,799,17.7,82.3,15.2,NA,0,"Nolan County, TX",4171,331723,"1257.4"
