FIPS,psych.st,rehab.st,genhosp.lt,psych.lt,rehab.lt,popjuvy.10,poppsych.10,psych.st.days,rehab.st.days,genhosp.lt.days,psych.lt.days,rehab.lt.days,er.visits,suicides.17.19,pop,pop.10,medage.10,percwhite.10,percblack.10,percamind.10,percasian.10,percpi.10,perctwoormore.10,percother.10,percurban.10,medhhincome,personsimpoverished,households.10,singleparenthouseholds.10,perclessthanhs.15,percwithhsormore.15,fouryearscollege.15,skateparks,perchisp.10,impoverishedpc
48101,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1398,1505,47.1,80.5,8.8,0.3,0,0.1,2.1,8.2,0,40449,264,677,67,23.8,76.2,16.8,0,10.3,0.188841202
48103,0,0,0,0,0,0,0,0,0,0,0,0,1388,NA,4797,4375,35.2,74.1,2.9,1,0.4,0,2.3,19.4,89.3,68626,451,1471,166,20.5,79.5,14.7,0,21.6,0.094017094
48105,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3464,3719,39.1,83.1,0.8,0.9,0.3,0.1,1.7,13,77.3,54165,476,1422,146,23,77,14,1,14.8,0.137413395
48107,0,0,0,0,0,0,0,0,0,0,0,0,2312,NA,5737,6059,37.9,79,3.4,0.6,0.1,0.1,2,14.8,0,38871,1247,2237,298,24,76,13.2,0,16.8,0.21736099
48109,0,0,0,0,0,0,0,0,0,0,0,0,1852,NA,2171,2398,38,78.9,0.6,1.3,1,0,2.8,15.4,0,44462,424,908,127,33.7,66.3,10.2,0,18.2,0.195301704
48111,0,0,0,0,0,0,0,0,0,0,0,0,4711,NA,7287,6703,32.2,80.1,1.3,1.2,0.6,0.1,3.7,13,76.5,55793,821,2448,277,29.6,70.4,15.8,1,16.7,0.112666392
48113,3,5,0,0,0,603,11,92994,80394,0,0,0,992433,301,2635516,2368139,32.5,53.5,22.3,0.7,5,0.1,2.8,15.5,99.3,61807,363567,855960,122066,20.7,79.3,31.5,6,18.4,0.137949077
48115,0,0,0,0,0,4,0,0,0,0,0,0,6283,NA,12728,13833,33.4,76.7,6.5,0.7,0.4,0.1,2.3,13.4,83.7,48165,2338,4385,562,30.1,69.9,14.2,1,15.6,0.183689503
48117,0,0,0,0,0,7,0,0,0,0,0,0,8014,NA,18546,19372,31,77.8,1.2,0.9,0.3,0,2.4,17.3,82.3,46178,3104,6365,947,26.2,73.8,12,1,19.8,0.167367626
48119,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,5331,5231,44,85.3,7.3,1.4,0.6,0,2.8,2.7,0,51348,844,2088,214,12.2,87.8,25.1,0,5.4,0.158319265
48121,4,3,0,0,0,137,0,79042,23831,0,0,0,243339,104,887207,662614,33,75,8.4,0.7,6.6,0.1,2.9,6.3,93.1,90910,56476,240289,22933,7.5,92.5,45.1,7,9.2,0.063655945
48123,0,0,0,0,0,26,0,0,0,0,0,0,9509,NA,20160,20097,42.8,75.7,9.3,0.4,0.2,0,2.3,12,50.4,52544,3135,7407,855,19.2,80.8,12.6,0,14.4,0.155505952
48125,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2211,2444,42.3,84,4.1,1.6,0.9,0,1.7,7.9,0,41973,366,930,68,15.6,84.4,18.5,0,9.4,0.165535957
48127,0,0,0,0,0,12,0,0,0,0,0,0,9956,NA,10124,9996,35.7,88.6,1,0.3,0.6,0,1.6,7.9,60.5,40315,2537,3421,582,33.6,66.4,13.6,0,9.5,0.250592651
48129,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3278,3677,42.5,89.9,4.5,0.5,0.2,0.1,1.8,3,0,41093,500,1517,134,11.3,88.7,17.9,1,4.8,0.152532032
48131,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,11157,11782,37.3,87,0.9,0.4,0.2,0,1.7,9.8,33,37100,2515,4090,619,31.4,68.6,9,0,11.5,0.225419019
48133,0,0,0,0,0,24,0,0,0,0,0,0,8666,NA,18360,18583,42.7,89.9,1.8,0.7,0.3,0,1.6,5.7,39.7,46991,2926,7465,735,15.6,84.4,16,0,7.3,0.159368192
48135,0,0,0,0,0,41,0,0,0,0,0,0,84846,24,166223,137130,31.4,76.3,4.5,1,0.8,0.1,2.5,14.9,90.5,65564,19781,48688,7293,24,76,15.4,1,17.3,0.119002785
48137,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1932,2002,47.2,86.9,0.5,1.3,0.3,0,1.1,9.8,0,40424,399,839,67,27.9,72.1,18.2,1,11,0.206521739
48139,0,0,0,0,0,177,0,0,0,0,0,0,77398,28,184826,149610,35,78.6,9,0.6,0.6,0.1,2.2,8.9,68,78341,15932,50503,5933,13.8,86.2,24.3,0,11.1,0.086199994
48141,3,1,0,0,0,181,0,80515,8578,0,0,0,368773,93,839238,800647,31.3,82.1,3.1,0.8,1,0.1,2.5,10.5,97.8,48629,154504,256557,43871,21.5,78.5,23.3,17,12.9,0.184100339
48143,0,0,0,0,0,68,0,0,0,0,0,0,17637,NA,42698,37890,31,85.6,1.2,0.8,0.7,0,1.7,10,53.7,53044,5937,14569,1172,11.7,88.3,31.5,1,11.7,0.139046325
48145,0,0,0,0,0,0,0,0,0,0,0,0,5569,NA,17297,17866,39.9,60.6,25.3,0.6,0.3,0.1,1.9,11.3,32.6,41484,3314,6302,787,23.1,76.9,12.4,0,13.1,0.191593918
48147,0,0,0,0,0,0,0,0,0,0,0,0,10957,NA,35514,33915,41,86,6.8,1.1,0.4,0,2.1,3.6,29.5,56123,4287,12149,1221,14.5,85.5,17.4,0,5.7,0.120712958
48149,0,0,0,0,0,13,0,0,0,0,0,0,8736,NA,25346,24554,46.4,83.5,6.6,0.7,0.3,0,1.4,7.5,32.9,62195,2710,10078,806,13.9,86.1,19.7,1,8.9,0.106920224
48151,0,0,0,0,0,0,0,0,0,0,0,0,1284,NA,3830,3974,45.7,86.7,3.4,0.5,0.2,0,2,7.2,0,51053,508,1668,142,13.9,86.1,18.6,0,9.2,0.132637076
48153,0,0,0,0,0,0,0,0,0,0,0,0,2189,NA,5712,6446,38.5,76.3,3.6,0.7,0.2,0,1.2,18,46.7,45022,979,2402,285,25.8,74.2,15.9,0,19.2,0.171393557
48155,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1155,1336,46.7,90.6,4,0.2,0.4,0,0.7,4,0,38615,190,573,47,18.1,81.9,16.2,0,4.8,0.164502165
48157,1,1,0,0,0,143,0,18719,16335,0,0,0,226145,83,811688,585375,35,50.6,21.5,0.4,17,0,2.9,7.6,94.5,101361,53151,187384,21064,9.4,90.6,46.2,3,10.5,0.065482057
